# ДАННЫЕ ДЛЯ АНАЛИЗА ЭВОЛЮЦИИ ВСЕЛЕННОЙ
# Формат: a, N, p, lambda, hbar, c, G, e, alpha, epsilon_0, mu_0, em_check, T, R, H, age
# Все величины в СИ
#
a	N	p	lambda	hbar	c	G	e	alpha_em	epsilon_0	mu_0	em_check	T	R	H	age	m_e	m_proton
1.000000e-32	1.000000e+00	3.000000e-01	8.437285e+01	1.155371e-06	5.771150e+00	4.624395e-24	1.602000e-19	1.160558e+00	8.854000e-12	6.206894e-19	1.830368e-28	4.988588e+28	4.806971e-02	1.200579e+02	8.329314e-03	2.611448e-03	1.262820e-06
4.498433e-32	3.235459e+02	2.895390e-01	2.112406e-02	3.314639e-01	2.388372e+04	4.064286e+04	7.684770e-07	2.746551e-01	1.869516e-17	9.377065e+07	1.000000e+00	4.682982e+24	5.120669e+02	4.664179e+01	2.144000e-02	5.961833e+03	1.131248e+04
2.023590e-31	1.046820e+05	2.794428e-01	4.844153e-03	8.635037e-01	1.079134e+05	7.210846e+08	4.432561e-09	1.557583e-01	9.939389e-23	8.639512e+11	1.000000e+00	4.026552e+23	5.955468e+03	1.812006e+01	5.518745e-02	1.622357e+04	1.318794e+05
9.102982e-31	3.386943e+07	2.696986e-01	1.967178e-03	7.466402e-01	2.753367e+05	1.322838e+11	1.893097e-10	1.087018e-01	1.206689e-25	1.093142e+14	1.000000e+00	6.130971e+22	3.911289e+04	7.039537e+00	1.420548e-01	1.407805e+04	2.768472e+05
4.094915e-30	1.095831e+10	2.602942e-01	1.006751e-03	4.107785e-01	5.574421e+05	3.814216e+12	1.820547e-11	8.348112e-02	1.321474e-27	2.435241e+15	1.000000e+00	1.176462e+22	2.038315e+05	2.734819e+00	3.656549e-01	7.691891e+03	2.903657e+05
1.842070e-29	3.545518e+12	2.512177e-01	5.834745e-04	1.769778e-01	9.965846e+05	4.065678e+13	2.712211e-12	6.775971e-02	4.728708e-29	2.129262e+16	1.000000e+00	2.556513e+21	9.379964e+05	1.062461e+00	9.412110e-01	3.277035e+03	2.096941e+05
8.286428e-29	1.147138e+15	2.424577e-01	3.650317e-04	6.557693e-02	1.650516e+06	2.350661e+14	5.294201e-13	5.702130e-02	3.507800e-30	1.046468e+17	1.000000e+00	5.996901e+20	3.998732e+06	4.127599e-01	2.422716e+00	1.198150e+03	1.203929e+05
3.727594e-28	3.711518e+17	2.340032e-01	2.402214e-04	2.198766e-02	2.598680e+06	9.067077e+14	1.237170e-13	4.922087e-02	4.220013e-31	3.508978e+17	1.000000e+00	1.479716e+20	1.620582e+07	1.603548e-01	6.236172e+00	3.959102e+02	5.938789e+04
1.676833e-27	1.200847e+20	2.258435e-01	1.636873e-04	6.881799e-03	3.951516e+06	2.647082e+15	3.276268e-14	4.329781e-02	7.090011e-32	9.032868e+17	1.000000e+00	3.780522e+19	6.343039e+07	6.229689e-02	1.605217e+01	1.220219e+02	2.638934e+04
7.543120e-27	3.885291e+22	2.179684e-01	1.142785e-04	2.052863e-03	5.864466e+06	6.363532e+15	9.479980e-15	3.864714e-02	1.505687e-32	1.931115e+18	1.000000e+00	9.896268e+18	2.423136e+08	2.420197e-02	4.131894e+01	3.582502e+01	1.090237e+04
3.393222e-26	1.257070e+25	2.103678e-01	8.112554e-05	5.925022e-04	8.559521e+06	1.338685e+16	2.919859e-15	3.489864e-02	3.761943e-33	3.628181e+18	1.000000e+00	2.634116e+18	9.103622e+08	9.402324e-03	1.063567e+02	1.017296e+01	4.284316e+03
1.526418e-25	4.067199e+27	2.030323e-01	5.821474e-05	1.674064e-04	1.235914e+07	2.583460e+16	9.382696e-16	3.181301e-02	1.046149e-33	6.257919e+18	1.000000e+00	7.087296e+17	3.383519e+09	3.652748e-03	2.737665e+02	2.827121e+00	1.630031e+03
6.866488e-25	1.315926e+30	1.959525e-01	4.201975e-05	4.675750e-05	1.774116e+07	4.757340e+16	3.094089e-16	2.922869e-02	3.092324e-34	1.027427e+19	1.000000e+00	1.918100e+17	1.250195e+10	1.419071e-03	7.046864e+02	7.765169e-01	6.093613e+02
3.088844e-24	4.257624e+32	1.891196e-01	3.037358e-05	1.302429e-05	2.543043e+07	8.660650e+16	1.031883e-16	2.703270e-02	9.323972e-35	1.658409e+19	1.000000e+00	5.198572e+16	4.612805e+10	5.513007e-04	1.813892e+03	2.126736e-01	2.268234e+02
1.389495e-23	1.377537e+35	1.825250e-01	2.189212e-05	3.649311e-06	3.655746e+07	1.613398e+17	3.432051e-17	2.514363e-02	2.755745e-35	2.715245e+19	1.000000e+00	1.404903e+16	1.706880e+11	2.141771e-04	4.669034e+03	5.858377e-02	8.516332e+01
6.250552e-23	4.456964e+37	1.761604e-01	1.566226e-05	1.037913e-06	5.294485e+07	3.189600e+17	1.122076e-17	2.350133e-02	7.657191e-36	4.658896e+19	1.000000e+00	3.768625e+15	6.363064e+11	8.320654e-05	1.201829e+04	1.637917e-02	3.269593e+01
2.811769e-22	1.442033e+40	1.700177e-01	1.106480e-05	3.027611e-07	7.765126e+07	6.975049e+17	3.548083e-18	2.206041e-02	1.907836e-36	8.692846e+19	1.000000e+00	9.982574e+14	2.402186e+12	3.232525e-05	3.093557e+04	4.696353e-03	1.303665e+01
1.264855e-21	4.665638e+42	1.640891e-01	7.669905e-06	9.173898e-08	1.160691e+08	1.775431e+18	1.063986e-18	2.078599e-02	4.022756e-37	1.845199e+20	1.000000e+00	2.594532e+14	9.242515e+12	1.255817e-05	7.962944e+04	1.398672e-03	5.502598e+00
5.689866e-21	1.509548e+45	1.583673e-01	5.172980e-06	2.936448e-08	1.783117e+08	5.626306e+18	2.949151e-19	1.965076e-02	6.652014e-38	4.728104e+20	1.000000e+00	6.561152e+13	3.654846e+13	4.878775e-06	2.049695e+05	4.400092e-04	2.521482e+00
2.559548e-20	4.884082e+47	1.528451e-01	3.354346e-06	1.016900e-08	2.849226e+08	2.442378e+19	7.287011e-20	1.863312e-02	7.744112e-39	1.590649e+21	1.000000e+00	1.595208e+13	1.503252e+14	1.895375e-06	5.276000e+05	1.497529e-04	1.300155e+00
1.151395e-19	1.580225e+50	1.475154e-01	2.053057e-06	3.952746e-09	4.823341e+08	1.682648e+20	1.518396e-20	1.771568e-02	5.376873e-40	7.994187e+21	1.000000e+00	3.660841e+12	6.550407e+14	7.363421e-07	1.358064e+06	5.720531e-05	7.971789e-01
5.179475e-19	5.112753e+52	1.423715e-01	1.149563e-06	1.835934e-09	8.925455e+08	2.363008e+21	2.428417e-21	1.688435e-02	1.679664e-41	7.473378e+22	1.000000e+00	7.685691e+11	3.120084e+15	2.860646e-07	3.495714e+06	2.611081e-05	6.384118e-01
2.329952e-18	1.654211e+55	1.374070e-01	5.539718e-07	1.151282e-09	1.919065e+09	1.102436e+23	2.481512e-22	1.612755e-02	1.362409e-43	1.993026e+24	1.000000e+00	1.388698e+11	1.726797e+16	1.111344e-07	8.998113e+06	1.609009e-05	8.020049e-01
1.048113e-17	5.352131e+57	1.326156e-01	1.979542e-07	1.313026e-09	5.564511e+09	5.626829e+25	1.036035e-23	1.543567e-02	7.505693e-47	4.302840e+26	1.000000e+00	1.860609e+10	1.288825e+17	4.317506e-08	2.316152e+07	1.803234e-05	2.471079e+00
4.714866e-17	1.731660e+60	1.279913e-01	2.906878e-08	8.867555e-09	3.926260e+10	3.530960e+31	3.007529e-26	1.480072e-02	1.384721e-53	4.684676e+31	1.000000e+00	1.024442e+09	2.340786e+18	1.677326e-08	5.961871e+07	1.196672e-04	1.097086e+02
2.120951e-16	5.602716e+62	1.235282e-01	6.719910e-09	2.416540e-08	1.759773e+11	5.873894e+35	3.412111e-28	1.421595e-02	1.519703e-58	2.124848e+35	1.000000e+00	8.879621e+07	2.700566e+19	6.516312e-09	1.534610e+08	3.204421e-04	1.248450e+03
9.540955e-16	1.812736e+65	1.192208e-01	9.924074e-08	1.613659e-11	1.234651e+10	3.522412e+25	1.010885e-24	1.367562e-02	2.960465e-47	2.215907e+26	1.000000e+00	4.916898e+08	4.877059e+18	2.531549e-09	3.950151e+08	2.102539e-07	5.449192e-02
4.291934e-15	5.865033e+67	1.150636e-01	2.817613e-07	2.915457e-13	4.505750e+09	1.131971e+21	2.131168e-23	1.317487e-02	2.071990e-42	2.377268e+22	1.000000e+00	5.234230e+08	4.581380e+18	9.834918e-10	1.016785e+09	3.732578e-09	3.347329e-04
1.930698e-14	1.897608e+70	1.110513e-01	5.346323e-07	1.179349e-14	2.460410e+09	9.140520e+17	1.343003e-22	1.270949e-02	3.862366e-39	4.276925e+19	1.000000e+00	3.723890e+08	6.439502e+18	3.820808e-10	2.617248e+09	1.483573e-10	6.888385e-06
8.685114e-14	6.139633e+72	1.071789e-01	8.422472e-07	6.920898e-16	1.618219e+09	3.269053e+15	4.849786e-22	1.227587e-02	1.351352e-36	2.825900e+17	1.000000e+00	2.199640e+08	1.090179e+19	1.484361e-10	6.736904e+09	8.554362e-12	2.476879e-07
3.906940e-13	1.986453e+75	1.034416e-01	1.192154e-06	5.031188e-17	1.184565e+09	2.753000e+13	1.271774e-21	1.187086e-02	1.806242e-34	3.945542e+15	1.000000e+00	1.167386e+08	2.054162e+19	5.766657e-11	1.734107e+10	6.110119e-13	1.227911e-08
1.757511e-12	6.427088e+77	9.983458e-02	1.574378e-06	4.201601e-18	9.293860e+08	4.037552e+11	2.711640e-21	1.149172e-02	1.294858e-32	8.940990e+13	1.000000e+00	5.780449e+07	4.148467e+19	2.240312e-11	4.463664e+10	5.013531e-14	7.495093e-10
